utm_campaign,push_impressions,utm_visited
,17005,0
,0,591431
+block_id_5_neel_v2,0,2
02Apr_MP_4_xxALL,0,1
04Apr_MP_2_xxALL,0,1
04Apr_MP_4_xxALL,0,1
04April_WA_xxALL,0,11
04Mar_WA_Clinic_Supercash_xxN2B,0,1
05Apr_WA_xxALL,0,1
07April_MP_3M_Clinic_xSKIN,0,1
08Apr_MP_2_Past_NF_xFOOD,5,1
08Apr_MP_2_xxALL,0,1
08April_Wa_Clinic_Grooming_Potential,0,2
09Apr_MP_2_xxALL,0,1
09April_MP_A3M_xRECO,0,1
10Apr_MP_1_xxALL,1,8
10Apr_MP_2_xxALL,0,9
10April_MP_2_PHARM,0,1
10April_MP_B12M_xToys,0,1
10April_MP_B15M_Deworming,0,1
10April_MP_B1M_xxABC,0,2
11Apr_Email_Pets_Day,0,1
11Apr_MP_1_30mns_xxGen,8,2
11Apr_MP_1_xxALL,505,16
11Apr_MP_1_xxSDD,16,0
11Apr_MP_2_30mns_xxGen,30,2
11Apr_MP_2_xxALL,2586,191
11Apr_MP_2_xxSDD,65,4
11April_SMS_5_RBNOD,0,3
11apr_wa_30min_snacktime,0,20
120231826656270518,0,8
120233323245190518,0,6
120241608920390518,0,8
120241790677430518,0,4
12Apr_MP_1_30mns_xxGen,5209,19
12Apr_MP_1_Signature_BRAND,4275,26
12Apr_MP_1_xxALL,170584,797
12Apr_MP_1_xxSDD,12414,40
12Apr_MP_2_30mns_xxGen,930,3
12Apr_MP_2_xxALL,158739,838
12Apr_MP_2_xxSDD,11878,41
12Mar_MP1_ALL,152,2
12apr_MP_30min_Bclub,13638,49
12apr_MP_30min_snacktime,13510,35
1772845356,0,19
1772846825,0,9
1772847341,0,1
1772847421,0,1
1772847592,0,1
1772847784,0,3
1772848125,0,11
1772848260,0,6
1772848439,0,9
1772848533,0,1
1772848840,0,2
19March_wa_1_Dewormer_PHARM,0,2
21Feb_MP_2_Past_PHARM_xFOOD,6,1
21Feb_WA_EA_Reply_Button,0,1
21Feb_WA_xxRetry,0,1
22Mar_MP_IBNOD,482,0
22Mar_WA_IBNOD,0,13
25Dec_WA_xxNEW,0,1
28Mar_WA_xxALL,0,1
29Mar_WA_RBNOD,0,2
31March_Email_1_LAPSE,0,1
31_march_WetFood,0,1
31_march_food_pdp,0,7
App_Install_Clinic,0,3
BLR_Charged_Supercash_New_Cx,229,1
BrandMarketing_SaleCallout_MIX_Video_TrafficGoogleLPViews_MOF_RoInd,0,124
CM_Short_MIX_PMax_Dog-HomeMeals-Launch-Blr_BOF_QComm,0,6
CatMkt_Short_MIX_PerfMax_Signature_BOF_RoInd,0,80
Clinic+Abandoned+Cart+Journey,0,2
ClinicDropOffJourney,52,2
D0_Drools_Sampling_2apr_Push,7,0
DSA_AllProducts_TROAS,0,193
Day3_Drools_Sampling_2apr_push,2,0
Day3_Henlo_Sampling_18mar_Push,11,0
Day6_Henlo_Sampling_18mar_Push,11,0
Food_DemandGen_Products,0,309
IBNODJourney,297,1
M1Journey,33,0
M1PV,58,0
Msg1,50,0
NF_DemandGen_Products,0,268
PMax_SeniorPets_TROAS_SDD,0,162
PerfMarketing_BA,0,2
PerfMarketing_BAU_ACQ_PerfMax_NonFood_BOF_RoInd,0,120
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind,0,1
PerfMarketing_BAU_ACQ_Sales_MetaAllCategories_BOF_Ind,0,331
PerfMarketing_BAU_ACQ_Sales_MetaRTAllCategories_BOF_Ind,0,238
PerfMarketing_BAU_ACQ_Search_Brand_BOF_QComm,0,2
PerfMarketing_BAU_ACQ_Search_Brand_BOF_RoInd,0,3
PerfMarketing_BAU_ACQ_Search_GenericFood_BOF_QComm,0,6
PerfMarketing_BAU_ACQ_Search_GenericFood_BOF_RoInd,0,11
PerfMarketing_BAU_ACQ_Search_GenericNonFood_BOF_QComm,0,4
