utm_campaign,push_impressions,utm_visited
07April_MP_3M_Clinic_xSKIN,7,0
07April_MP_4M_Clinic_xxGUT,3,1
07April_MP_5M_Clinic_xDENT,0,1
07April_MP_6M_Clinic_xxN2B,15,0
08April_MP_1M_Clinic_Grooming_xxREP,14,0
08April_MP_2M_Clinic_xxxKR,1004,7
08April_MP_3M_Clinic_xxDWM,340,0
08April_MP_4M_Clinic_xxCNP,1837,4
08April_MP_5M_Clinic_xxGRP,2349,11
08April_MP_6M_Clinic_Vaccine_xxN2B,103,1
08April_MP_7M_Clinic_Repeat_xxALL,1890,8
08April_MP_8M_Clinic_xBDAY,254,1
08April_MP_9M_Clinic_N2B_xxAHS,7524,22
08April_Wa_Clinic_xBDAY,0,10
